month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2025-02-01,A DIVISION,S 42nd,offpeak,599333.7,0.41403207,-0.1182724,248143.38,-70884.63,10452.244,0.017439773,0.9825602
2025-02-01,A DIVISION,S 42nd,peak,831418.9,0.39906958,-0.12868556,331793.97,-106991.61,1000.7106,0.0012036178,0.9987964
2025-02-01,B DIVISION,A,offpeak,3040063.5,1.0550346,0.6417009,3207372.2,1950811.5,549589.7,0.1807823,0.8192177
2025-02-01,B DIVISION,A,peak,4060887,0.8700609,0.26011184,3533219,1056284.8,501702.62,0.12354508,0.8764549
2025-02-01,B DIVISION,B,offpeak,1852045.8,1.7092383,0.91182286,3165587.5,1688737.6,402173.3,0.21715085,0.78284913
2025-02-01,B DIVISION,B,peak,2532100.8,1.7647036,0.93781227,4468407.5,2374635,557714.4,0.22025758,0.7797424
2025-02-01,B DIVISION,C,offpeak,2309112,1.5158474,0.5238771,3500261.8,1209690.9,390449.72,0.16909084,0.83090913
2025-02-01,B DIVISION,C,peak,2115785.8,1.5152037,0.29310608,3205846.5,620149.7,324718.12,0.153474,0.84652597
2025-02-01,B DIVISION,D,offpeak,2493371,1.7111807,0.72979766,4266608.5,1819656.4,581847.75,0.23335788,0.76664215
2025-02-01,B DIVISION,D,peak,2580841.8,1.6127496,0.7692758,4162251.5,1985379.1,543843.06,0.21072312,0.7892769
2025-02-01,B DIVISION,E,offpeak,3438738.8,1.2089728,0.55409014,4157341.8,1905371.1,573923.4,0.16689938,0.8331006
2025-02-01,B DIVISION,E,peak,4077744.5,1.3728148,-0.13922921,5597988,-567741.1,547992.75,0.13438626,0.86561376
2025-02-01,B DIVISION,F,offpeak,3819055.5,1.8141985,0.35596088,6928525,1359434.4,809688.75,0.21201283,0.7879872
2025-02-01,B DIVISION,F,peak,4596758.5,1.7583126,-0.17865272,8082538.5,-821223.4,797246.7,0.17343672,0.8265633
2025-02-01,B DIVISION,G,offpeak,1389234.2,1.1756712,1.2814232,1633282.6,1780196.9,258079.61,0.18577114,0.8142289
2025-02-01,B DIVISION,G,peak,1589391.2,1.2109138,1.1783175,1924615.8,1872807.6,307910.7,0.1937287,0.8062713
2025-02-01,B DIVISION,JZ,offpeak,1365306.8,1.370626,0.6071035,1871325,828882.56,269436.72,0.19734518,0.8026548
2025-02-01,B DIVISION,JZ,peak,1498257.8,1.13221,0.5239123,1696342.4,784955.7,270956.84,0.18084794,0.81915206
2025-02-01,B DIVISION,L,offpeak,2957490.8,1.2310303,0.5915576,3640761.2,1749526.1,308029.1,0.104152165,0.89584786
2025-02-01,B DIVISION,L,peak,3217659.2,1.9549714,0.7327286,6290432,2357671,378156.6,0.11752537,0.8824746
2025-02-01,B DIVISION,M,offpeak,1908064,2.0868058,0.15493473,3981759,295625.38,415076,0.21753778,0.78246224
2025-02-01,B DIVISION,M,peak,2285416.2,1.9248273,0.1702798,4399031.5,389160.22,485322.75,0.2123564,0.7876436
2025-02-01,B DIVISION,N,offpeak,2484925.5,1.3192672,0.5356806,3278280.8,1331126.5,457260.6,0.1840138,0.8159862
2025-02-01,B DIVISION,N,peak,2796109.2,1.4450108,0.32574776,4040408,910826.3,453863.25,0.16231957,0.8376804
2025-02-01,B DIVISION,Q,offpeak,2937910,1.3518931,0.64452106,3971740.2,1893544.9,593570.8,0.20203847,0.79796153
2025-02-01,B DIVISION,Q,peak,3381437,1.2265413,0.7548961,4147472,2552633.5,631614.5,0.18678878,0.8132112
2025-02-01,B DIVISION,R,offpeak,3273776.8,1.9839712,0.089261405,6495079.5,292221.9,716137.6,0.21874967,0.7812503
2025-02-01,B DIVISION,R,peak,3910610.5,2.215247,-0.032786276,8662968,-128214.36,842191.56,0.21536064,0.78463936
2025-02-01,B DIVISION,S Fkln,offpeak,171802.69,0.854087,-0.0026452006,146734.45,-454.4526,9375.748,0.054572765,0.94542724
2025-02-01,B DIVISION,S Fkln,peak,172709.28,0.3478314,0.015580897,60073.715,2690.9656,8870.777,0.05136248,0.94863755
2025-02-01,B DIVISION,S Rock,offpeak,7982.0493,0.89710146,-0.008642899,7160.708,-68.988045,726.437,0.09100884,0.90899116
2025-02-01,B DIVISION,S Rock,peak,8437.321,0.07825461,-0.13353287,660.2593,-1126.6598,412.7628,0.048921067,0.95107895
2025-02-01,B DIVISION,W,offpeak,1134794,1.0322275,0.079396784,1171365.6,90098.99,140175.61,0.12352515,0.87647486
2025-02-01,B DIVISION,W,peak,1537958.9,1.0133265,-0.2411944,1558454.4,-370947.06,142814.03,0.09285947,0.90714055
