month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2024-11-01,A DIVISION,1,2,2804,3284,0.8538368
2024-11-01,A DIVISION,2,1,4699,6576,0.71456814
2024-11-01,A DIVISION,2,2,1596,2499,0.6386555
2024-11-01,A DIVISION,3,1,5131,6054,0.8475388
2024-11-01,A DIVISION,3,2,1647,2285,0.72078776
2024-11-01,A DIVISION,4,1,6205,7399,0.83862686
2024-11-01,A DIVISION,4,2,2275,3014,0.75481087
2024-11-01,A DIVISION,5,1,5428,6476,0.8381717
2024-11-01,A DIVISION,5,2,1694,2257,0.75055385
2024-11-01,A DIVISION,6,1,8615,11039,0.7804149
2024-11-01,A DIVISION,6,2,2657,3127,0.8496962
2024-11-01,A DIVISION,7,1,11724,12834,0.913511
2024-11-01,A DIVISION,7,2,2974,3183,0.9343387
2024-11-01,A DIVISION,S 42nd,1,11088,11140,0.9953321
2024-11-01,A DIVISION,S 42nd,2,3963,3968,0.9987399
2024-11-01,B DIVISION,A,1,6170,7839,0.7870902
2024-11-01,B DIVISION,A,2,2686,3660,0.7338798
2024-11-01,B DIVISION,B,1,2497,3928,0.6356925
2024-11-01,B DIVISION,C,1,3187,4440,0.7177928
2024-11-01,B DIVISION,C,2,655,936,0.6997863
2024-11-01,B DIVISION,D,1,4550,6307,0.72142065
2024-11-01,B DIVISION,D,2,2670,3034,0.88002634
2024-11-01,B DIVISION,E,1,6316,8200,0.7702439
2024-11-01,B DIVISION,E,2,2311,2680,0.86231345
2024-11-01,B DIVISION,F,1,5492,7840,0.7005102
2024-11-01,B DIVISION,F,2,1584,2093,0.7568084
2024-11-01,B DIVISION,G,1,5173,6129,0.84402025
2024-11-01,B DIVISION,G,2,3306,3444,0.9599303
2024-11-01,B DIVISION,JZ,1,4767,5984,0.7966243
2024-11-01,B DIVISION,JZ,2,2220,2460,0.902439
2024-11-01,B DIVISION,L,1,10193,10912,0.9341092
2024-11-01,B DIVISION,L,2,3379,3681,0.91795707
2024-11-01,B DIVISION,M,1,4847,5840,0.8299658
2024-11-01,B DIVISION,M,2,2461,2524,0.9750396
2024-11-01,B DIVISION,N,1,7531,9448,0.7970999
2024-11-01,B DIVISION,N,2,1878,2360,0.7957627
2024-11-01,B DIVISION,Q,1,5273,6318,0.83459955
2024-11-01,B DIVISION,Q,2,2706,2936,0.92166215
2024-11-01,B DIVISION,R,1,4770,6055,0.7877787
2024-11-01,B DIVISION,R,2,1965,2160,0.9097222
2024-11-01,B DIVISION,S Fkln,1,4699,4716,0.99639523
2024-11-01,B DIVISION,S Fkln,2,2115,2120,0.9976415
2024-11-01,B DIVISION,S Rock,1,3151,3256,0.96775186
2024-11-01,B DIVISION,S Rock,2,306,310,0.9870968
2024-12-01,A DIVISION,1,1,7689,9711,0.7917825
2024-12-01,A DIVISION,1,2,2907,3240,0.8972222
2024-12-01,A DIVISION,2,1,4693,6997,0.67071605
2024-12-01,A DIVISION,2,2,1772,2690,0.65873605
2024-12-01,A DIVISION,3,1,5227,6229,0.8391395
2024-12-01,A DIVISION,3,2,1389,1710,0.8122807
2024-12-01,A DIVISION,4,1,6322,7766,0.8140613
2024-12-01,A DIVISION,4,2,2094,2640,0.79318184
2024-12-01,A DIVISION,5,1,5329,6840,0.77909356
2024-12-01,A DIVISION,5,2,1829,2229,0.82054734
2024-12-01,A DIVISION,6,1,9797,11740,0.83449745
2024-12-01,A DIVISION,6,2,2811,3166,0.88787115
2024-12-01,A DIVISION,7,1,12056,13486,0.8939641
2024-12-01,A DIVISION,7,2,3548,3708,0.95685005
2024-12-01,A DIVISION,S 42nd,1,11084,11088,0.9996393
2024-12-01,A DIVISION,S 42nd,2,3558,3568,0.99719733
2024-12-01,B DIVISION,A,1,6265,7908,0.79223573
2024-12-01,B DIVISION,A,2,1865,2794,0.6675018
2024-12-01,B DIVISION,B,1,2639,4416,0.5975996
2024-12-01,B DIVISION,C,1,3279,4704,0.6970663
2024-12-01,B DIVISION,C,2,975,1548,0.62984496
2024-12-01,B DIVISION,D,1,4888,6436,0.7594779
2024-12-01,B DIVISION,D,2,1715,2162,0.793247
2024-12-01,B DIVISION,E,1,6033,8610,0.7006969
2024-12-01,B DIVISION,E,2,1839,2088,0.88074714
2024-12-01,B DIVISION,F,1,5264,8232,0.6394558
